firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Peter,Ratcliffe,GB,,male,2019,medicine,3,University of Oxford,Oxford,United Kingdom,May,66,65
Gregg,Semenza,US,,male,2019,medicine,3,Johns Hopkins University,Baltimore MD,USA,Jul,64,63
James,Peebles,CA,,male,2019,physics,2,Princeton University,Princeton NJ,USA,Apr,85,84
Michel,Mayor,CH,,male,2019,physics,4,University of Geneva,Geneva,Switzerland,Jan,78,77
Didier,Queloz,CH,,male,2019,physics,4,University of Geneva,Geneva,Switzerland,Feb,54,53
John,Goodenough,DE,,male,2019,chemistry,3,University of Texas,Austin TX,USA,Jul,98,97
M. Stanley,Whittingham,GB,,male,2019,chemistry,3,Binghamton University State University of New York,New York NY,USA,Dec,79,78
Akira,Yoshino,JP,,male,2019,chemistry,3,Asahi Kasei Corporation,Tokyo,Japan,Jan,72,71
Peter,Handke,AT,,male,2019,literature,1,,,,Dec,78,77
Abiy,Ahmed Ali,ET,,male,2019,peace,1,,,,Aug,44,43
Abhijit,Banerjee,IN,,male,2019,economics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Feb,59,58
Esther,Duflo,FR,,female,2019,economics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Oct,48,47
Michael,Kremer,US,,male,2019,economics,3,Harvard University,Cambridge MA,USA,Nov,56,55
